Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2020-08-17,114.60749816894531,243.00999450683594,97.55000305175781,172.00999450683594,138.72000122070312,196.74000549316406,42.09000015258789,90.7699966430664,129.3699951171875,44.459999084472656,203.07000732421875,288.239990234375,158.75999450683594,118.96749877929688,48.93000030517578,148.99000549316406,99.70999908447266,48.209999084472656,208.6699981689453,164.7100067138672,80.87786102294922,210.27999877929688,105.66000366210938,135.5,115.91000366210938,320.510009765625,199.42999267578125,58.779998779296875,41.18000030517578,135.60000610351562
2020-08-18,115.5625,241.5,96.66999816894531,170.22999572753906,138.3699951171875,204.00999450683594,41.97999954223633,87.62999725341797,128.9199981689453,44.709999084472656,201.30999755859375,285.0,157.3800048828125,119.42638397216797,48.650001525878906,150.08999633789062,98.31999969482422,48.41999816894531,210.32000732421875,164.3800048828125,80.68701934814453,211.49000549316406,106.97000122070312,136.50999450683594,114.93000030517578,316.80999755859375,199.00999450683594,59.18000030517578,40.7599983215332,134.7100067138672
2020-08-19,115.7074966430664,240.49000549316406,96.88999938964844,169.27000427246094,138.02000427246094,205.11000061035156,41.869998931884766,86.38999938964844,127.7699966430664,44.63999938964844,203.02000427246094,282.8599853515625,156.85000610351562,118.39388275146484,48.33000183105469,150.38999938964844,98.55000305175781,47.369998931884766,209.50999450683594,163.97000122070312,81.135498046875,209.6999969482422,108.38999938964844,135.77000427246094,113.19999694824219,315.3999938964844,200.99000549316406,59.04999923706055,40.25,132.41000366210938
2020-08-20,118.2750015258789,238.72999572753906,96.72000122070312,169.5800018310547,137.47999572753906,209.50999450683594,42.310001373291016,84.80999755859375,128.1199951171875,43.689998626708984,201.85000610351562,280.67999267578125,156.1699981689453,117.73422241210938,49.16999816894531,151.4199981689453,97.37000274658203,47.349998474121094,209.8800048828125,162.97000122070312,81.135498046875,214.5800018310547,108.01000213623047,136.85000610351562,112.52999877929688,313.3299865722656,204.14999389648438,58.959999084472656,39.709999084472656,130.57000732421875
2020-08-21,124.37000274658203,237.63999938964844,96.1500015258789,167.5,138.42999267578125,207.52999877929688,42.25,85.08000183105469,127.44000244140625,43.59000015258789,202.42999267578125,283.2300109863281,157.5,117.74378967285156,49.279998779296875,152.75999450683594,97.31999969482422,47.279998779296875,211.57000732421875,161.7100067138672,81.08778381347656,213.02000427246094,109.75,137.44000244140625,111.83000183105469,314.1400146484375,204.1300048828125,58.9900016784668,39.459999084472656,131.6300048828125
2020-08-24,125.85749816894531,235.57000732421875,99.33000183105469,178.27000427246094,141.67999267578125,208.4600067138672,42.18000030517578,87.19999694824219,130.69000244140625,46.119998931884766,207.33999633789062,286.75,159.3699951171875,120.15296173095703,49.13999938964844,152.14999389648438,100.05999755859375,47.970001220703125,212.6199951171875,163.52999877929688,81.50763702392578,213.69000244140625,111.83000183105469,138.50999450683594,114.9000015258789,308.8399963378906,206.41000366210938,59.56999969482422,39.7400016784668,131.3300018310547
2020-08-25,124.82499694824219,248.22000122070312,99.05000305175781,174.72999572753906,141.14999389648438,216.0500030517578,41.959999084472656,86.12999725341797,129.7899932861328,45.59000015258789,206.0,286.1300048828125,164.52999877929688,119.15869903564453,49.43000030517578,152.05999755859375,100.5,47.90999984741211,212.64999389648438,163.10000610351562,81.75572204589844,216.47000122070312,111.51000213623047,139.05999755859375,115.62000274658203,312.2200012207031,208.10000610351562,59.41999816894531,39.5,130.6300048828125
2020-08-26,126.52249908447266,250.17999267578125,98.4000015258789,171.89999389648438,141.8300018310547,272.32000732421875,42.25,84.77999877929688,132.17999267578125,46.34000015258789,207.22000122070312,291.92999267578125,165.30999755859375,118.70936584472656,49.54999923706055,152.3000030517578,99.08999633789062,48.15999984741211,213.75999450683594,163.89999389648438,81.62213897705078,221.14999389648438,111.52999877929688,138.38999938964844,113.54000091552734,308.82000732421875,210.25999450683594,59.459999084472656,38.66999816894531,130.6999969482422
2020-08-27,125.01000213623047,252.80999755859375,101.52999877929688,174.1999969482422,143.3699951171875,276.32000732421875,42.290000915527344,84.91000366210938,133.72999572753906,46.15999984741211,210.14999389648438,288.6300048828125,165.99000549316406,119.16825866699219,49.400001525878906,152.97999572753906,102.3499984741211,48.22999954223633,212.19000244140625,164.0800018310547,81.88931274414062,226.5800018310547,110.83999633789062,138.2100067138672,117.18000030517578,311.6700134277344,211.02999877929688,59.43000030517578,39.34000015258789,136.6300048828125
2020-08-28,124.80750274658203,253.1199951171875,102.54000091552734,175.8000030517578,143.6300048828125,271.1000061035156,42.20000076293945,85.62999725341797,135.5399932861328,46.04999923706055,207.7100067138672,286.2900085449219,168.3800048828125,119.56979370117188,50.43000030517578,153.63999938964844,102.7699966430664,49.83000183105469,214.91000366210938,165.66000366210938,81.72709655761719,228.91000366210938,112.29000091552734,138.77000427246094,115.88999938964844,314.3699951171875,215.7100067138672,59.2599983215332,38.7599983215332,140.3000030517578
